"","PromptRelevant","SelfDH1","SelfDH2","SelfDH3","SelfDH4","SelfDH5","SelfDH6","SelfDH7","SelfDH8","SelfDH9","SelfDH10","Condition","SelfDH_Mean","Condition_Label"
"1",1,7,5,6,6,3,2,3,2,5,2,"2",4.1,"Unethical"
"2",1,4,6,4,7,4,5,6,6,4,6,"1",5.2,"Ethical"
"3",1,5,7,6,6,6,4,6,5,7,5,"3",5.7,"Neutral"
"4",1,6,7,7,7,7,7,7,7,7,7,"1",6.9,"Ethical"
"5",1,7,7,4,7,7,7,7,7,7,7,"3",6.7,"Neutral"
"6",1,7,7,7,7,7,7,7,5,7,4,"1",6.5,"Ethical"
"7",1,7,7,7,7,7,7,7,7,7,7,"3",7,"Neutral"
"8",0,7,6,6,7,6,7,7,5,7,7,"2",6.5,"Unethical"
"9",1,4,7,5,6,7,7,7,7,7,7,"3",6.4,"Neutral"
"10",1,6,6,6,6,6,6,6,6,6,6,"1",6,"Ethical"
"11",1,6,7,6,6,7,7,7,6,7,6,"3",6.5,"Neutral"
"12",1,6,7,6,7,7,7,7,7,7,7,"3",6.8,"Neutral"
"13",1,4,4,6,4,4,5,5,5,5,7,"2",4.9,"Unethical"
"14",1,7,7,6,7,7,7,7,7,7,7,"2",6.9,"Unethical"
"15",0,7,5,7,4,6,6,5,7,5,5,"1",5.7,"Ethical"
"16",1,5,6,5,5,5,4,4,5,5,6,"2",5,"Unethical"
"17",1,7,7,5,7,7,7,7,7,7,7,"1",6.8,"Ethical"
"18",1,5,6,5,7,7,6,6,6,7,6,"2",6.1,"Unethical"
"19",1,7,7,7,7,7,7,7,7,7,7,"1",7,"Ethical"
"20",1,5,7,4,7,7,7,7,7,7,7,"3",6.5,"Neutral"
"21",1,6,6,6,6,7,7,6,6,7,7,"2",6.4,"Unethical"
"22",0,6,6,5,5,5,6,6,6,5,5,"1",5.5,"Ethical"
"23",0,7,6,7,6,7,7,6,5,7,7,"2",6.5,"Unethical"
"24",0,6,6,6,7,7,6,7,6,7,7,"1",6.5,"Ethical"
"25",1,4,5,4,4,5,6,5,5,6,6,"3",5,"Neutral"
"26",1,7,7,7,7,7,7,7,7,7,7,"2",7,"Unethical"
"27",1,6,7,6,7,7,7,7,7,7,7,"1",6.8,"Ethical"
"28",0,6,7,6,5,6,7,5,7,6,5,"3",6,"Neutral"
"29",1,7,7,7,7,7,7,7,7,7,7,"2",7,"Unethical"
"30",1,4,6,5,4,6,5,3,3,5,4,"1",4.5,"Ethical"
"31",1,5,6,5,6,7,6,6,7,7,7,"1",6.2,"Ethical"
"32",1,5,5,4,6,5,5,6,6,7,7,"1",5.6,"Ethical"
"33",1,6,7,6,7,7,7,7,7,7,7,"1",6.8,"Ethical"
"34",0,6,6,7,6,7,7,7,7,7,6,"1",6.6,"Ethical"
"35",1,4,4,5,5,6,5,3,5,3,5,"2",4.5,"Unethical"
"36",1,4,6,4,6,6,5,6,5,5,5,"3",5.2,"Neutral"
"37",1,6,6,6,7,7,7,7,7,7,7,"2",6.7,"Unethical"
"38",0,6,5,7,7,6,5,6,7,6,7,"3",6.2,"Neutral"
"39",1,7,7,7,7,7,7,7,7,7,7,"3",7,"Neutral"
"40",1,5,5,3,5,5,5,5,5,6,5,"2",4.9,"Unethical"
"41",1,6,4,5,6,7,7,7,7,7,7,"1",6.3,"Ethical"
"42",1,6,6,6,6,6,7,5,7,5,6,"3",6,"Neutral"
"43",1,2,4,4,6,4,5,6,4,6,5,"3",4.6,"Neutral"
"44",1,6,6,6,6,5,2,5,5,4,6,"3",5.1,"Neutral"
"45",1,6,7,6,7,7,5,7,6,7,6,"3",6.4,"Neutral"
"46",1,6,7,6,6,6,6,6,7,7,6,"2",6.3,"Unethical"
"47",1,6,7,7,7,7,7,7,7,7,7,"1",6.9,"Ethical"
"48",1,6,6,6,6,6,4,5,6,5,6,"2",5.6,"Unethical"
"49",1,4,6,4,6,4,5,6,3,5,4,"2",4.7,"Unethical"
"50",1,6,6,6,5,5,5,6,5,6,5,"3",5.5,"Neutral"
"51",1,5,6,6,5,5,5,6,6,6,6,"3",5.6,"Neutral"
"52",1,5,7,6,7,7,7,6,7,7,7,"1",6.6,"Ethical"
"53",1,7,6,6,6,6,7,6,7,7,7,"1",6.5,"Ethical"
"54",1,7,7,7,7,7,7,7,7,7,7,"3",7,"Neutral"
"55",1,6,6,6,7,7,6,5,7,4,7,"2",6.1,"Unethical"
"56",1,6,7,5,6,7,7,7,7,7,7,"3",6.6,"Neutral"
"57",1,7,7,6,7,7,7,7,7,7,7,"3",6.9,"Neutral"
"58",1,4,4,5,5,4,4,3,4,4,4,"3",4.1,"Neutral"
"59",1,6,6,5,6,6,6,6,6,6,6,"1",5.9,"Ethical"
"60",1,5,7,6,6,7,7,7,7,7,7,"1",6.6,"Ethical"
"61",1,7,7,7,5,7,7,7,7,7,7,"1",6.8,"Ethical"
"62",1,7,2,3,5,3,3,3,4,4,6,"2",4,"Unethical"
"63",1,7,7,6,7,7,7,7,7,7,7,"1",6.9,"Ethical"
"64",0,6,7,7,6,7,6,7,7,7,6,"1",6.6,"Ethical"
"65",1,7,7,6,7,7,7,7,7,7,7,"3",6.9,"Neutral"
"66",1,7,7,6,7,7,7,7,7,7,7,"3",6.9,"Neutral"
"67",1,7,7,7,7,7,7,7,7,7,7,"2",7,"Unethical"
"68",0,4,5,5,6,4,6,5,5,6,6,"1",5.2,"Ethical"
"69",1,5,6,6,7,7,5,6,6,5,6,"1",5.9,"Ethical"
"70",1,7,7,7,7,7,7,7,7,7,7,"1",7,"Ethical"
"71",1,6,7,6,7,7,7,7,7,7,7,"1",6.8,"Ethical"
"72",1,5,7,4,5,6,7,6,7,6,7,"1",6,"Ethical"
"73",1,6,5,5,5,5,5,5,5,5,5,"2",5.1,"Unethical"
"74",1,5,6,7,7,6,6,5,7,7,6,"3",6.2,"Neutral"
"75",1,4,5,3,4,6,4,3,4,4,5,"2",4.2,"Unethical"
"76",1,6,5,4,7,5,4,5,6,6,6,"3",5.4,"Neutral"
"77",1,7,7,7,7,7,7,7,7,7,7,"3",7,"Neutral"
"78",1,7,4,7,6,6,7,6,6,6,5,"1",6,"Ethical"
"79",1,6,7,6,7,7,7,7,7,7,7,"1",6.8,"Ethical"
"80",1,3,7,7,6,6,7,5,7,2,7,"3",5.7,"Neutral"
"81",1,6,7,5,7,7,5,5,6,6,6,"3",6,"Neutral"
"82",1,6,6,6,5,6,6,5,6,6,6,"3",5.8,"Neutral"
"83",0,7,5,7,7,6,7,5,6,5,6,"2",6.1,"Unethical"
"84",0,5,5,6,6,5,6,5,7,6,6,"1",5.7,"Ethical"
"85",1,7,7,6,7,7,7,7,7,7,7,"3",6.9,"Neutral"
"86",1,5,5,5,4,4,4,3,4,4,5,"2",4.3,"Unethical"
"87",1,6,7,7,6,7,7,7,7,7,7,"1",6.8,"Ethical"
"88",1,7,7,7,7,7,7,7,7,7,7,"1",7,"Ethical"
"89",1,7,7,7,7,7,7,7,7,7,7,"1",7,"Ethical"
"90",1,6,7,5,5,7,7,7,7,7,7,"3",6.5,"Neutral"
"91",1,6,6,6,7,7,6,6,4,6,6,"3",6,"Neutral"
"92",1,7,7,7,6,6,6,6,7,6,7,"2",6.5,"Unethical"
"93",1,6,5,4,4,6,6,6,5,6,6,"2",5.4,"Unethical"
"94",1,7,7,4,7,7,7,7,7,7,7,"3",6.7,"Neutral"
"95",1,6,6,5,6,6,5,4,5,6,7,"2",5.6,"Unethical"
"96",0,6,5,6,7,7,6,7,6,7,6,"1",6.3,"Ethical"
"97",1,7,7,7,7,7,7,7,7,7,7,"3",7,"Neutral"
"98",1,7,7,4,7,6,7,7,7,7,6,"3",6.5,"Neutral"
"99",1,6,7,5,6,7,7,7,7,7,7,"2",6.6,"Unethical"
"100",1,7,7,3,7,7,6,7,6,7,6,"1",6.3,"Ethical"
"101",1,5,7,6,7,7,7,7,7,7,7,"3",6.7,"Neutral"
"102",1,5,4,6,7,4,6,6,5,6,7,"3",5.6,"Neutral"
"103",0,6,3,5,5,5,4,2,3,6,4,"2",4.3,"Unethical"
"104",1,6,6,6,6,6,6,6,6,6,6,"1",6,"Ethical"
"105",1,6,7,6,7,7,6,7,7,7,7,"1",6.7,"Ethical"
"106",1,7,7,4,7,7,7,7,7,7,7,"3",6.7,"Neutral"
"107",1,4,5,6,6,5,5,5,5,5,5,"3",5.1,"Neutral"
"108",1,6,7,7,6,7,7,7,7,7,7,"1",6.8,"Ethical"
"109",1,5,7,7,7,7,7,7,6,7,7,"1",6.7,"Ethical"
"110",1,7,7,7,7,7,7,7,7,7,7,"3",7,"Neutral"
"111",1,4,7,2,3,5,6,5,4,2,5,"3",4.3,"Neutral"
"112",1,6,7,5,7,7,7,7,6,7,7,"1",6.6,"Ethical"
"113",1,6,5,2,4,7,6,6,6,5,6,"2",5.3,"Unethical"
"114",1,4,6,6,7,6,7,7,7,7,7,"2",6.4,"Unethical"
"115",1,4,7,5,7,7,7,7,7,7,7,"1",6.5,"Ethical"
"116",1,5,7,5,7,7,7,7,7,7,7,"1",6.6,"Ethical"
"117",0,5,5,6,6,6,6,5,5,6,6,"3",5.6,"Neutral"
"118",0,4,2,6,7,5,7,6,3,5,7,"2",5.2,"Unethical"
"119",1,7,7,4,6,7,7,7,6,7,7,"1",6.5,"Ethical"
